ID,Pos,Cell_Centroid_X,Cell_Centroid_Y,Cell_Area,Nuc_Area,Mem_Area,Cyt_Area,Median_Cell_BCAT,Median_Nuc_BCAT,Median_Mem_BCAT,Median_Cyt_BCAT,Median_Cell_CC3,Median_Nuc_CC3,Median_Mem_CC3,Median_Cyt_CC3,Median_Cell_CD44V6,Median_Nuc_CD44V6,Median_Mem_CD44V6,Median_Cyt_CD44V6,Median_Cell_COX2,Median_Nuc_COX2,Median_Mem_COX2,Median_Cyt_COX2,Median_Cell_DAPI,Median_Nuc_DAPI,Median_Mem_DAPI,Median_Cyt_DAPI,Median_Cell_ECAD,Median_Nuc_ECAD,Median_Mem_ECAD,Median_Cyt_ECAD,Median_Cell_KI67,Median_Nuc_KI67,Median_Mem_KI67,Median_Cyt_KI67,Median_Cell_LC3A,Median_Nuc_LC3A,Median_Mem_LC3A,Median_Cyt_LC3A,Median_Cell_LYZ,Median_Nuc_LYZ,Median_Mem_LYZ,Median_Cyt_LYZ,Median_Cell_MMP7,Median_Nuc_MMP7,Median_Mem_MMP7,Median_Cyt_MMP7,Median_Cell_MUC2,Median_Nuc_MUC2,Median_Mem_MUC2,Median_Cyt_MUC2,Median_Cell_NAKATPASE,Median_Nuc_NAKATPASE,Median_Mem_NAKATPASE,Median_Cyt_NAKATPASE,Median_Cell_PCAD,Median_Nuc_PCAD,Median_Mem_PCAD,Median_Cyt_PCAD,Median_Cell_PCK26,Median_Nuc_PCK26,Median_Mem_PCK26,Median_Cyt_PCK26,Median_Cell_PCNA,Median_Nuc_PCNA,Median_Mem_PCNA,Median_Cyt_PCNA,Median_Cell_PEGFR,Median_Nuc_PEGFR,Median_Mem_PEGFR,Median_Cyt_PEGFR,Median_Cell_PERK,Median_Nuc_PERK,Median_Mem_PERK,Median_Cyt_PERK,Median_Cell_SMAD4,Median_Nuc_SMAD4,Median_Mem_SMAD4,Median_Cyt_SMAD4,Median_Cell_SURVIVIN,Median_Nuc_SURVIVIN,Median_Mem_SURVIVIN,Median_Cyt_SURVIVIN,Median_Cell_VILLIN,Median_Nuc_VILLIN,Median_Mem_VILLIN,Median_Cyt_VILLIN
1,3,411,1148,246,10,123,113,7271,861,7906,7327,88,24,92,92,469,273,490,469,3465,1611,3565,3499,4620,18442,5136,4067,4540,605,5264,4513,3189,433,2668,3589,8151,2372,7855,8293,5208,2406,5196,5323,314,14,310,357,15187,4235,13933,17618,6910,783,7006,7102,10924,2063,11694,10864,2091,581,2227,2014,264,3,254,285,16640,2728,16417,17067,4810,566,4982,4849,5947,1539,5447,6168,90,30,85,109,416,242,413,436
2,3,412,1126,247,69,128,50,9262,8332,10135,8883,272,437,231,261,1436,1775,1296,1516,9199,10418,8949,8310,22860,31127,16896,24544,5353,3804,6243,4815,2505,2341,2244,3190,17498,19669,16400,17011,7972,8081,7946,7895,1319,1557,1104,1417,5600,4531,4541,11315,5866,3897,6985,4976,12264,10073,14197,10799,2752,2617,3136,2457,729,782,753,675,21079,21084,21889,20335,11928,13365,11556,11750,11617,11769,11320,11777,1778,3840,929,2271,538,591,548,471
3,3,428,1118,345,230,112,3,1448,1443,1702,2801,127,133,114,19,575,581,530,335,3578,3350,5329,3344,21471,30076,5583,9495,901,829,1082,2373,795,791,831,541,4746,4617,6871,5510,5962,5987,5695,5445,412,409,407,629,980,973,974,1270,1777,1762,1684,3052,3434,3375,4321,5964,523,506,705,652,198,157,273,633,3579,3546,4093,7672,1107,1102,1423,1658,2166,2175,1961,2009,195,228,34,101,319,318,359,481
4,3,433,1145,1089,621,212,256,708,672,978,607,98,104,68,100,462,492,433,449,2813,2626,3001,3005,17080,28969,8378,9179,230,284,236,118,587,652,556,491,3739,3304,4475,4153,4757,4685,4691,5120,304,375,258,202,826,996,734,677,636,700,865,554,1980,1925,2434,1828,401,400,547,354,167,195,131,142,587,988,484,428,409,521,281,309,1366,1370,1340,1392,49,118,15,12,261,316,204,159
5,3,441,1402,1468,705,331,432,1095,975,1084,1490,109,109,110,107,512,476,504,629,2984,2799,3019,3323,13236,24724,3562,3443,5,23,0,3,653,660,637,645,5585,5210,5953,6702,3557,3592,3449,3577,446,506,405,384,659,637,684,671,563,518,506,699,2293,1879,2611,3211,205,169,236,244,206,221,202,186,562,558,536,594,933,984,801,900,1832,1653,2232,2013,62,254,10,4,251,279,185,247
6,3,446,1349,1742,390,377,975,1030,1243,912,896,113,132,111,107,540,516,567,540,3341,3182,3309,3443,2400,24512,1630,1816,20,58,50,0,631,688,604,604,5932,6196,5640,5725,3287,3148,3376,3303,390,456,362,376,750,653,788,775,605,710,505,548,2220,2353,2057,2143,224,167,262,232,223,261,227,212,544,558,493,556,511,883,302,398,1886,1930,1745,1885,32,276,13,9,223,268,220,208
7,3,432,1062,146,45,51,50,282,302,163,422,26,67,30,0,311,447,215,404,1794,2347,1196,1740,4417,23022,1491,3289,23,72,8,18,310,669,118,294,1568,2092,994,1435,4036,4875,1828,4017,370,549,143,341,2485,2009,1048,8286,338,355,167,460,1026,1234,773,1139,201,194,150,310,255,297,190,282,431,555,288,473,162,515,3,83,578,833,459,542,1,159,0,1,289,433,88,334
8,3,442,1182,999,647,238,114,682,614,1467,710,69,85,43,56,531,554,486,540,3519,3643,3081,3333,13825,24866,6214,7116,190,189,290,133,625,685,518,519,4993,5025,4884,4840,6782,7551,5285,5838,391,495,258,272,676,674,684,682,393,355,721,436,1962,1854,2996,2000,295,270,616,370,235,297,166,155,445,450,457,372,491,675,247,378,1487,1529,1393,1347,92,236,6,21,206,236,171,120
9,3,452,1312,947,278,302,367,1304,1099,1174,1714,179,156,168,210,770,841,702,769,3221,3029,3382,3350,4097,17584,2835,3017,0,33,0,0,762,758,701,804,6932,6877,6382,7490,3961,3470,4004,4332,453,504,401,454,641,627,652,644,618,617,526,715,2950,2583,2624,3745,201,178,230,202,258,286,246,244,621,591,567,700,470,558,298,424,2271,2094,2315,2462,44,224,15,24,211,219,194,217
10,3,469,1164,459,207,166,86,6642,4715,8024,7076,91,117,79,62,707,662,720,744,8962,6077,10672,10599,12579,27687,5986,6711,6354,3926,8066,6810,1334,1100,1462,2907,7926,5999,8715,9187,14785,12422,18063,20126,638,567,691,710,1236,937,1332,2014,5882,4050,7163,6564,9223,6337,11055,9720,4163,2709,5238,5186,327,310,356,308,617,543,687,657,613,683,543,498,1605,1474,1648,1802,222,568,111,75,426,378,445,512
